name,mouse_id,sex,batch,tester,age,fi,weight,diet,strain,fll,raw_fi,median_angular_velocity,median_base_tail_lateral_displacement,median_limb_duty_factor,median_nose_lateral_displacement,median_speed_cm_per_sec,median_step_length1,median_step_width,median_stride_length,median_tip_tail_lateral_displacement,stride_count,angular_velocity_iqr,base_tail_lateral_displacement_iqr,limb_duty_factor_iqr,nose_lateral_displacement_iqr,speed_cm_per_sec_iqr,step_length1_iqr,step_width_iqr,stride_length_iqr,tip_tail_lateral_displacement_iqr,median_length,median_width,dAC_mean,dAC_stdev,dAC_min,dAC_median,dB_mean,dB_stdev,dB_max,dB_median,aABC_mean,aABC_stdev,aABC_min,aABC_median,dAC_nongait_mean,dAC_nongait_stdev,dAC_nongait_median,dB_nongait_max,dB_nongait_median,aABC_nongait_mean,aABC_nongait_stdev,aABC_nongait_median,distance_cm,center_time_secs,periphery_time_secs,corner_time_secs,center_distance_cm,periphery_distance_cm,corner_distance_cm,grooming_number_bouts,grooming_duration_secs,Rearing_supported_T5,Rearing_supported_T20,Rearing_supported_T55,Rearing_unsupported_T5,Rearing_unsupported_T20,Rearing_unsupported_T55,Grooming_T5,Grooming_T20,Grooming_T55
LL5-B2B__2019-12-23_SPD__LL5-4_AgedB6-0430,AgedB6-0430,Male,Batch1,Amanda,25.28571429,5.903888087502492,29.67,AL,B6,,4,-0.693045167,0.150622534,0.611111111,0.106835608,16.23810545,2.350281928,3.231689366,4.582361503,0.435255192,766,26.26907532,0.064144697,0.1875,0.090272177,6.187749031,1.650334863,0.392023424,1.745549726,0.333408914,61.29280281,37.26255417,0.573448812,0.153032755,0,0.586904085,6.085275014,5.331633851,29.00431002,4.5,147.9689268,36.32981737,0,160.2888142,0.607533006,0.199298939,0.65716793,34.00735215,12.16552506,140.0402984,43.17077541,154.3443293,3.927627661,696.4615,3025.13076,1612.82844,2725.69335,11565.39032,4271.0166,8,539.60236,0.064111111,0.052527778,0.045090909,0.003111111,0.042722222,0.044747475,0.000333333,0.042388889,0.167050505
LL5-B6__2021-06-02_SPD__AgedB6-2056,AgedB6-2056,Male,Batch3,Mackenzie,25.85714286,7.084468921161161,24.14,AL,B6,,9,-2.266177017,0.130147646,0.590909091,0.103473364,12.87953904,2.32236625,3.44534991,3.173883791,0.382213663,547,37.23064325,0.093103479,0.184659091,0.109240165,4.526312869,1.855348456,0.786267501,3.307947503,0.313025804,67.21858978,41.18264389,0.693316858,0.107209725,0.158081225,0.687710014,4.782824929,3.468827269,29.9541316,3.905124838,158.8651811,18.7730298,14.5110595,163.6577898,0.10384879,0.022239803,0.105143792,452.1437824,11.51086443,151.6014131,24.36273268,157.1689073,2.273277944,572.23303,3027.767,1667.6004,1544.958,7518.666,2827.6641,5,71.3001,0.034111111,0.021666667,0.018939394,0.008111111,0.010277778,0.009757576,0.003333333,0.014611111,0.041909091
