name,mouse_id,sex,age,fi
LL2-B2B__2020-07-06_SPD__AgedB6-0453,AgedB6-0453,-1,110.0,8.5
LL3-B2B__2020-07-06_SPD__AgedB6-0541,AgedB6-0541,1,69.0,3.0
LL3-B2B__2020-07-06_SPD__AgedB6-0542,AgedB6-0542,1,69.0,3.0
LL3-B2B__2020-07-06_SPD__AgedB6-0543,AgedB6-0543,1,69.0,3.5
LL3-B2B__2020-07-06_SPD__AgedB6-0546,AgedB6-0546,1,70.0,3.0
LL4-B2B__2020-07-06_SPD__AgedB6-0547,AgedB6-0547,1,70.0,5.0
LL4-B2B__2020-07-06_SPD__AgedB6-0937,AgedB6-0937,1,43.0,2.5
LL4-B2B__2020-07-06_SPD__AgedB6-0938,AgedB6-0938,1,43.0,3.0
LL5-B2B__2020-07-06_SPD__AgedB6-0944,AgedB6-0944,1,43.0,2.5
LL5-B2B__2020-07-06_SPD__AgedB6-0947,AgedB6-0947,1,43.0,3.0
LL6-B2B__2020-07-06_SPD__AgedB6-0950,AgedB6-0950,1,43.0,2.5
LL6-B2B__2020-07-06_SPD__AgedB6-0952,AgedB6-0952,1,43.0,2.5
LL2-B2B__2020-07-06_SPD__AgedB6-1057,AgedB6-1057,1,34.0,2.5
LL3-B2B__2020-07-06_SPD__AgedB6-1058,AgedB6-1058,1,34.0,2.5
LL3-B2B__2020-07-06_SPD__AgedB6-1059,AgedB6-1059,1,34.0,2.5
LL3-B2B__2020-07-06_SPD__AgedB6-1060,AgedB6-1060,1,34.0,2.0
LL3-B2B__2020-07-06_SPD__AgedB6-1061,AgedB6-1061,1,34.0,2.0
LL4-B2B__2020-07-06_SPD__AgedB6-1062,AgedB6-1062,1,34.0,2.0
LL4-B2B__2020-07-06_SPD__AgedB6-1063,AgedB6-1063,1,34.0,3.0
LL1-B2B__2020-07-06_SPD__AgedB6-1236,AgedB6-1236,-1,100.0,5.0
LL1-B2B__2020-07-06_SPD__AgedB6-1237,AgedB6-1237,-1,100.0,6.0
LL1-B2B__2020-07-06_SPD__AgedB6-1238,AgedB6-1238,-1,100.0,5.5
LL1-B2B__2020-07-06_SPD__AgedB6-1239,AgedB6-1239,-1,100.0,6.0
LL2-B2B__2020-07-06_SPD__AgedB6-1241,AgedB6-1241,-1,100.0,6.0
LL2-B2B__2020-07-06_SPD__AgedB6-1243,AgedB6-1243,-1,100.0,8.0
LL4-B2B__2020-07-06_SPD__AgedB6-1280,AgedB6-1280,-1,10.0,1.0
LL5-B2B__2020-07-06_SPD__AgedB6-1283,AgedB6-1283,-1,10.0,1.0
LL5-B2B__2020-07-06_SPD__AgedB6-1284,AgedB6-1284,-1,10.0,1.0
LL5-B2B__2020-07-06_SPD__AgedB6-1285,AgedB6-1285,-1,10.0,1.0
LL4-B2B__2020-07-07_SPD__AgedB6-0839,AgedB6-0839,-1,50.0,5.0
LL5-B2B__2020-07-07_SPD__AgedB6-0840,AgedB6-0840,-1,50.0,5.5
LL5-B2B__2020-07-07_SPD__AgedB6-0847,AgedB6-0847,-1,50.0,5.0
LL5-B2B__2020-07-07_SPD__AgedB6-0848,AgedB6-0848,-1,50.0,5.5
LL6-B2B__2020-07-07_SPD__AgedB6-0852,AgedB6-0852,-1,50.0,4.0
LL6-B2B__2020-07-07_SPD__AgedB6-0853,AgedB6-0853,-1,50.0,5.5
LL6-B2B__2020-07-07_SPD__AgedB6-0854,AgedB6-0854,-1,50.0,5.5
LL6-B2B__2020-07-07_SPD__AgedB6-0855,AgedB6-0855,-1,50.0,6.5
LL1-B2B__2020-07-07_SPD__AgedB6-0856,AgedB6-0856,-1,50.0,5.5
LL1-B2B__2020-07-07_SPD__AgedB6-0940,AgedB6-0940,-1,43.0,3.5
LL1-B2B__2020-07-07_SPD__AgedB6-0941,AgedB6-0941,-1,43.0,5.0
LL1-B2B__2020-07-07_SPD__AgedB6-0942,AgedB6-0942,-1,43.0,4.0
LL2-B2B__2020-07-07_SPD__AgedB6-0943,AgedB6-0943,-1,43.0,4.0
LL2-B2B__2020-07-07_SPD__AgedB6-0948,AgedB6-0948,-1,43.0,3.0
LL3-B2B__2020-07-07_SPD__AgedB6-0955,AgedB6-0955,-1,43.0,3.0
LL3-B2B__2020-07-07_SPD__AgedB6-1036,AgedB6-1036,-1,43.0,3.5
LL3-B2B__2020-07-07_SPD__AgedB6-1214,AgedB6-1214,1,100.0,5.0
LL3-B2B__2020-07-07_SPD__AgedB6-1215,AgedB6-1215,1,100.0,7.0
LL3-B2B__2020-07-07_SPD__AgedB6-1216,AgedB6-1216,1,100.0,4.0
LL4-B2B__2020-07-07_SPD__AgedB6-1217,AgedB6-1217,1,100.0,5.0
LL4-B2B__2020-07-07_SPD__AgedB6-1218,AgedB6-1218,1,100.0,4.5
LL4-B2B__2020-07-07_SPD__AgedB6-1219,AgedB6-1219,1,100.0,4.5
LL1-B2B__2020-07-07_SPD__AgedB6-1252,AgedB6-1252,-1,101.0,8.0
LL1-B2B__2020-07-07_SPD__AgedB6-1253,AgedB6-1253,-1,101.0,8.0
LL1-B2B__2020-07-07_SPD__AgedB6-1254,AgedB6-1254,-1,101.0,7.5
