name,mouse_id,sex,age,fi
LL3-B2B__2020-01-03_SPD__LL3-2_AgedB6-0861,AgedB6-0861,-1,103.0,5.0
LL3-B2B__2020-01-03_SPD__LL3-3_AgedB6-0862,AgedB6-0862,-1,103.0,6.5
LL3-B2B__2020-01-03_SPD__LL3-4_AgedB6-0863,AgedB6-0863,-1,103.0,6.5
LL4-B2B__2020-01-03_SPD__LL4-1_AgedB6-0864,AgedB6-0864,-1,103.0,6.0
LL4-B2B__2020-01-03_SPD__LL4-2_AgedB6-0865,AgedB6-0865,-1,103.0,5.5
LL4-B2B__2020-01-03_SPD__LL4-3_AgedB6-0866,AgedB6-0866,-1,103.0,4.5
LL2-B2B__2020-01-03_SPD__LL2-4_AgedB6-0867,AgedB6-0867,-1,103.0,6.0
LL3-B2B__2020-01-03_SPD__LL3-1_AgedB6-0868,AgedB6-0868,-1,103.0,5.5
LL3-B2B__2020-01-03_SPD__LL3-2_AgedB6-0869,AgedB6-0869,-1,103.0,5.0
LL3-B2B__2020-01-03_SPD__LL3-3_AgedB6-0870,AgedB6-0870,-1,103.0,6.0
LL3-B2B__2020-01-03_SPD__LL3-4_AgedB6-0871,AgedB6-0871,-1,103.0,5.0
LL4-B2B__2020-01-03_SPD__LL4-3_AgedB6-0872,AgedB6-0872,-1,103.0,6.0
LL4-B2B__2020-01-03_SPD__LL4-2_AgedB6-0873,AgedB6-0873,-1,103.0,5.1
LL1-B2B__2020-01-03_SPD__LL1-2_AgedB6-0875,AgedB6-0875,-1,103.0,5.0
LL1-B2B__2020-01-03_SPD__LL1-3_AgedB6-0876,AgedB6-0876,-1,103.0,6.5
LL1-B2B__2020-01-03_SPD__LL1-4_AgedB6-0877,AgedB6-0877,-1,103.0,4.0
LL2-B2B__2020-01-03_SPD__LL2-1_AgedB6-0878,AgedB6-0878,-1,103.0,5.5
LL2-B2B__2020-01-03_SPD__LL2-2_AgedB6-0879,AgedB6-0879,-1,103.0,7.5
LL1-B2B__2020-01-16_SPD__AgedB6-0890,AgedB6-0890,-1,105.0,5.0
LL1-B2B__2020-01-16_SPD__AgedB6-0891,AgedB6-0891,-1,105.0,5.0
LL1-B2B__2020-01-16_SPD__AgedB6-0892,AgedB6-0892,-1,105.0,5.5
LL1-B2B__2020-01-16_SPD__AgedB6-0893,AgedB6-0893,-1,105.0,5.0
LL2-B2B__2020-01-16_SPD__AgedB6-0896,AgedB6-0896,-1,105.0,5.0
LL2-B2B__2020-01-16_SPD__AgedB6-0899,AgedB6-0899,-1,105.0,5.0
LL3-B2B__2020-01-16_SPD__LL3-1_AgedB6-0909,AgedB6-0909,-1,105.0,4.5
LL3-B2B__2020-01-16_SPD__LL3-2_AgedB6-0911,AgedB6-0911,-1,105.0,5.0
LL3-B2B__2020-01-16_SPD__LL3-3_AgedB6-0912,AgedB6-0912,-1,105.0,5.5
LL4-B2B__2020-01-16_SPD__LL4-1_AgedB6-0914,AgedB6-0914,-1,105.0,4.5
LL4-B2B__2020-01-16_SPD__LL4-3_AgedB6-0916,AgedB6-0916,-1,105.0,6.5
LL5-B2B__2020-01-16_SPD__LL5-1_AgedB6-0918,AgedB6-0918,-1,105.0,7.5
LL6-B2B__2020-01-16_SPD__LL6-3_AgedB6-0925,AgedB6-0925,-1,105.0,5.0
LL1-B2B__2020-01-17_SPD__AgedB6-0882,AgedB6-0882,-1,105.0,4.5
LL1-B2B__2020-01-17_SPD__AgedB6-0883,AgedB6-0883,-1,105.0,4.0
LL1-B2B__2020-01-17_SPD__AgedB6-0884,AgedB6-0884,-1,105.0,4.0
LL1-B2B__2020-01-17_SPD__AgedB6-0885,AgedB6-0885,-1,105.0,4.5
LL2-B2B__2020-01-17_SPD__AgedB6-0886,AgedB6-0886,-1,105.0,4.0
LL2-B2B__2020-01-17_SPD__AgedB6-0887,AgedB6-0887,-1,105.0,5.0
LL2-B2B__2020-01-17_SPD__AgedB6-0888,AgedB6-0888,-1,105.0,4.0
LL3-B2B__2020-01-17_SPD__LL3-1_AgedB6-0901,AgedB6-0901,-1,105.0,4.0
LL3-B2B__2020-01-17_SPD__LL3-2_AgedB6-0902,AgedB6-0902,-1,105.0,5.0
LL3-B2B__2020-01-17_SPD__LL3-3_AgedB6-0903,AgedB6-0903,-1,105.0,6.0
LL3-B2B__2020-01-17_SPD__LL3-4_AgedB6-0904,AgedB6-0904,-1,105.0,6.0
LL4-B2B__2020-01-17_SPD__LL4-1_AgedB6-0905,AgedB6-0905,-1,105.0,5.0
LL4-B2B__2020-01-17_SPD__LL4-2_AgedB6-0907,AgedB6-0907,-1,105.0,4.5
LL4-B2B__2020-01-17_SPD__LL4-3_AgedB6-0908,AgedB6-0908,-1,105.0,4.5
