"NetworkFilename","PoseFilename","AgeGroup","MouseID","Strain","Diet","AgeW","AgeAtVid","CFI_norm","score","median_angular_velocity","median_base_tail_lateral_displacement","median_limb_duty_factor","median_nose_lateral_displacement","median_speed_cm_per_sec","median_step_length1","median_step_width","median_stride_length","median_tip_tail_lateral_displacement","stride_count","angular_velocity_iqr","base_tail_lateral_displacement_iqr","limb_duty_factor_iqr","nose_lateral_displacement_iqr","speed_cm_per_sec_iqr","step_length1_iqr","step_width_iqr","stride_length_iqr","tip_tail_lateral_displacement_iqr","median_length","median_width","dAC_mean","dAC_stdev","dAC_min","dAC_median","dB_mean","dB_stdev","dB_max","dB_median","aABC_mean","aABC_stdev","aABC_min","aABC_median","dAC_nongait_mean","dAC_nongait_stdev","dAC_nongait_median","dB_nongait_max","dB_nongait_median","aABC_nongait_mean","aABC_nongait_stdev","aABC_nongait_median","distance_cm","center_time_secs","periphery_time_secs","corner_time_secs","center_distance_cm","periphery_distance_cm","corner_distance_cm","grooming_number_bouts","grooming_duration_secs","Rearing_supported_T5","Rearing_supported_T20","Rearing_supported_T55","Rearing_unsupported_T5","Rearing_unsupported_T20","Rearing_unsupported_T55","Grooming_T5","Grooming_T20","Grooming_T55","alopecia","loss_of_fur_colour","dermatitis","loss_of_whiskers","coat_condition","piloerection","cataracts","eye_discharge_swelling","microphthalmia","corneal_opacity","nasal_discharge","rectal_prolapse","vaginal_uterine","diarrhea","vestibular_disturbance","vision_loss_visual_placing","menace_reflex","tail_stiffening","gait_disorders","tremor","tumours","distended_abdomen","kyphosis","body_condition","breathing_rate_depth","malocclusions","righting_reflex","FLL","FIdate","Batch","Weight","pallor_or_cyanosis","hunched","eye_discharge","changes_to_the_globe","response_to_analgesic","peri_retro_orbital_swelling","vaginal_uterine_prolapse","activity","response_to_external_stimuli","paralysis","tumors","urine","dehydration_reduced_skin_turgor","head_piloerection","thoracic_mass","NFI","temperature","CFI","FIs","loss_of_fur_color","Sex","Tester"
"LL1-B2B/2019-12-23_SPD/LL1-3_AgedB6-0288.avi","LL1-3_AgedB6-0288",3,"AgedB6-0288","B6","AL",87,87,0.160714286,4.500000008,2.74601992,0.227707158,0.653846154,0.159551184,15.63868201,2.651924785,2.9718,5.318712579,0.614498505,743,39.36904848,0.098420119,0.131313131,0.156891076,5.404195771,1.434415196,0.376888526,1.812119258,0.336288291,63.20670319,34.78170776,0.649571789,0.122998533,0.068672184,0.651481543,4.216487245,2.685645184,22.54994457,3.640054945,159.7415094,17.68375016,32.47119229,164.6574069,0.092303486,0.037867262,0.091506399,611.0450065,11.80042372,153.1003699,23.0199266,158.8387402,3.705425804,706.8433,3014.74892,1430.29744,2941.457916,11711.1502,3983.02671,12,275.0234,0.0443333333333333,0.03375,0.0278484848484848,0.0126666666666667,0.00886111111111111,0.0149393939393939,0.0248888888888889,0.0202777777777778,0.0568181818181818,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-23_SPD/LL1-3_AgedB6-0308.avi","LL1-3_AgedB6-0308",2,"AgedB6-0308","B6","AL",75,75,0.160714286,4.500000008,1.227764996,0.223079593,0.590909091,0.133211361,14.30423138,2.106564148,3.388624914,4.763642863,0.659143381,1248,42.04714597,0.093570815,0.181818182,0.128679874,5.039342709,1.767657616,0.564136111,2.640537381,0.33031063,67.18566895,38.19408417,0.722286041,0.089974488,0.230089497,0.724490771,4.157331948,2.728517008,24.6221445,3.535533906,161.7514687,14.89985218,35.45323308,165.3236069,0.10979091,0.029222664,0.110910107,582.6019224,11.40175425,155.4288681,19.74855086,159.5277205,5.028698914,1032.98898,2688.60326,1032.51712,5118.3929,14522.3915,4548.73905,4,25.923,0.0631111111111111,0.0570833333333333,0.0494545454545455,0.001,0.00136111111111111,0.00128282828282828,0,0.01075,0.00677777777777777,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-23_SPD/LL1-4_AgedB6-0318.avi","LL1-4_AgedB6-0318",2,"AgedB6-0318","B6","AL",75,75,0.089285714,2.499999992,-3.356945708,0.168977285,0.571428571,0.114968397,17.9189772,2.47153439,3.318180773,4.963049082,0.471929577,1988,39.80300277,0.078406779,0.166666667,0.119939321,7.172533244,1.666810317,0.39804895,1.821164608,0.263563395,69.60224152,37.95165634,0.700596736,0.105438686,0.014648968,0.708016634,3.678939772,2.737747363,26.5,3,163.8739394,15.23594767,0.588231688,168.3174035,0.113754517,0.053175767,0.112563657,566.1324933,11.18033989,158.3313749,20.54408574,163.8791443,6.802750051,611.77118,3109.8212,1169.90278,4823.4463,22331.101,6912.4639,6,29.98138,0.0586666666666667,0.0653888888888889,0.0587575757575758,0.00211111111111111,0.00394444444444444,0.0162222222222222,0.00344444444444444,0.00166666666666666,0.00572727272727272,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-23_SPD/LL1-4_AgedB6-0541.avi","LL1-4_AgedB6-0541",1,"AgedB6-0541","B6","AL",42,42,0.080357143,2.250000004,2.115741786,0.180643878,0.625,0.117215943,17.18510271,2.241120662,2.618855212,4.588213361,0.476541077,1982,40.67348089,0.067400165,0.131944444,0.12216647,6.159564045,1.306555158,0.320399597,1.560421647,0.217242474,59.51865768,31.84995937,0.653911014,0.126539821,0,0.668120289,3.572901473,2.643275024,24.05202694,3,161.4813976,19.28257293,0,166.8223887,0.100328941,0.068072483,0.097556502,534.6010195,10.63014581,153.5911225,25.62807045,159.9812396,6.245842326,776.8733,2944.8131,1209.91998,5983.44654,19353.5685,6174.6642,16,137.35434,0.0732222222222222,0.0483055555555556,0.0403636363636364,0.00566666666666666,0.00963888888888889,0.0413333333333333,0.0128888888888889,0.0209722222222222,0.0424747474747475,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-23_SPD/LL1-4_AgedB6-0541.avi","LL1-4_AgedB6-0541",1,"AgedB6-0541","B6","AL",42,42,0.080357143,2.250000004,2.115741786,0.180643878,0.625,0.117215943,17.18510271,2.241120662,2.618855212,4.588213361,0.476541077,1982,40.67348089,0.067400165,0.131944444,0.12216647,6.159564045,1.306555158,0.320399597,1.560421647,0.217242474,59.51865768,31.84995937,0.653911014,0.126539821,0,0.668120289,3.572901473,2.643275024,24.05202694,3,161.4813976,19.28257293,0,166.8223887,0.100328941,0.068072483,0.097556502,534.6010195,10.63014581,153.5911225,25.62807045,159.9812396,6.245842326,776.8733,2944.8131,1209.91998,5983.44654,19353.5685,6174.6642,16,137.35434,0.0732222222222222,0.0483055555555556,0.0403636363636364,0.00566666666666666,0.00963888888888889,0.0413333333333333,0.0128888888888889,0.0209722222222222,0.0424747474747475,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-23_SPD/LL1-4_AgedB6-0541.avi","LL1-4_AgedB6-0541",1,"AgedB6-0541","B6","AL",42,42,0.080357143,2.250000004,2.115741786,0.180643878,0.625,0.117215943,17.18510271,2.241120662,2.618855212,4.588213361,0.476541077,1982,40.67348089,0.067400165,0.131944444,0.12216647,6.159564045,1.306555158,0.320399597,1.560421647,0.217242474,59.51865768,31.84995937,0.653911014,0.126539821,0,0.668120289,3.572901473,2.643275024,24.05202694,3,161.4813976,19.28257293,0,166.8223887,0.100328941,0.068072483,0.097556502,534.6010195,10.63014581,153.5911225,25.62807045,159.9812396,6.245842326,776.8733,2944.8131,1209.91998,5983.44654,19353.5685,6174.6642,16,137.35434,0.0732222222222222,0.0483055555555556,0.0403636363636364,0.00566666666666666,0.00963888888888889,0.0413333333333333,0.0128888888888889,0.0209722222222222,0.0424747474747475,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-24_SPD/LL1-1_AgedB6-0420.avi","LL1-1_AgedB6-0420",2,"AgedB6-0420","B6","AL",55,55,0.267857143,7.500000004,0.902734841,0.174143069,0.583333333,0.136154992,13.3725913,2.494439846,3.142785431,3.888183869,0.463084491,883,45.34738015,0.092656478,0.166666667,0.129299618,4.080695694,1.925963365,0.742326208,2.505264264,0.320956573,65.85736084,37.98387146,0.703184534,0.101834667,0.105757558,0.707671466,4.390082162,3.139154116,25.22399651,3.605551275,160.4707958,17.85519571,2.882963453,165.6750491,0.116678812,0.04700677,0.116204582,564.415627,12.04159458,154.4600489,23.37365635,160.8141894,4.360962684,834.833907,2886.8837,975.10747,4769.57975,11941.8689,3280.09282,6,68.20147,0.0472222222222222,0.0592777777777778,0.0455959595959596,0.002,0.00211111111111111,0.00448484848484848,0.0181111111111111,0.01425,0.0243636363636364,0.5,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-24_SPD/LL1-1_AgedB6-0420.avi","LL1-1_AgedB6-0420",2,"AgedB6-0420","B6","AL",55,55,0.267857143,7.500000004,0.902734841,0.174143069,0.583333333,0.136154992,13.3725913,2.494439846,3.142785431,3.888183869,0.463084491,883,45.34738015,0.092656478,0.166666667,0.129299618,4.080695694,1.925963365,0.742326208,2.505264264,0.320956573,65.85736084,37.98387146,0.703184534,0.101834667,0.105757558,0.707671466,4.390082162,3.139154116,25.22399651,3.605551275,160.4707958,17.85519571,2.882963453,165.6750491,0.116678812,0.04700677,0.116204582,564.415627,12.04159458,154.4600489,23.37365635,160.8141894,4.360962684,834.833907,2886.8837,975.10747,4769.57975,11941.8689,3280.09282,6,68.20147,0.0472222222222222,0.0592777777777778,0.0455959595959596,0.002,0.00211111111111111,0.00448484848484848,0.0181111111111111,0.01425,0.0243636363636364,0.5,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-24_SPD/LL1-1_AgedB6-0420.avi","LL1-1_AgedB6-0420",2,"AgedB6-0420","B6","AL",55,55,0.267857143,7.500000004,0.902734841,0.174143069,0.583333333,0.136154992,13.3725913,2.494439846,3.142785431,3.888183869,0.463084491,883,45.34738015,0.092656478,0.166666667,0.129299618,4.080695694,1.925963365,0.742326208,2.505264264,0.320956573,65.85736084,37.98387146,0.703184534,0.101834667,0.105757558,0.707671466,4.390082162,3.139154116,25.22399651,3.605551275,160.4707958,17.85519571,2.882963453,165.6750491,0.116678812,0.04700677,0.116204582,564.415627,12.04159458,154.4600489,23.37365635,160.8141894,4.360962684,834.833907,2886.8837,975.10747,4769.57975,11941.8689,3280.09282,6,68.20147,0.0472222222222222,0.0592777777777778,0.0455959595959596,0.002,0.00211111111111111,0.00448484848484848,0.0181111111111111,0.01425,0.0243636363636364,0.5,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LL1-B2B/2019-12-24_SPD/LL1-2_AgedB6-0426.avi","LL1-2_AgedB6-0426",2,"AgedB6-0426","B6","AL",55,55,0.178571429,5.000000012,-2.56612993,0.169435763,0.636363636,0.116199054,15.59300897,2.555744354,2.986941893,4.929728141,0.447597222,975,33.48747696,0.069453843,0.151785714,0.109562684,5.862548524,1.643742493,0.422692336,2.108163136,0.288291017,68.08963013,35.72647476,0.708497848,0.112647509,0.262135121,0.720413942,4.105588282,2.990012945,26.10076627,3.354101966,161.0111346,17.15317367,40.89188782,165.7258186,0.114736764,0.030409062,0.116159614,576.1805273,11.5,155.8913308,22.0790436,161.647729,4.869627317,1016.630021,2705.6859,973.78112,5964.727982,13700.6897,4057.40682,5,77.17136,0.063,0.0570555555555555,0.0448686868686869,0.00011111111111111,0.00405555555555555,0.0232828282828283,0.00888888888888888,0.0109444444444444,0.0182424242424242,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
