name,has_strain_result
LL1-B6__2021-06-01_SPD__AgedB6-0312,True
LL1-B6__2021-06-01_SPD__AgedB6-0414,True
LL1-B6__2021-06-01_SPD__AgedB6-0420,True
LL1-B6__2021-06-01_SPD__AgedB6-1471,True
LL1-B6__2021-06-01_SPD__AgedB6-1486,True
LL1-B6__2021-06-01_SPD__AgedB6-1487,True
LL1-B6__2021-06-02_SPD__AgedB6-2291,True
LL1-B6__2021-06-08_SPD__AgedB6-2258,True
LL1-B6__2021-06-08_SPD__AgedB6-2259,True
LL1-B6__2021-06-08_SPD__AgedB6-2260,True
LL1-B6__2021-06-08_SPD__AgedB6-2261,True
LL1-B6__2021-06-14_SPD__AgedB6-0670,True
LL1-B6__2021-06-14_SPD__AgedB6-0672,True
LL1-B6__2021-06-14_SPD__AgedB6-0673,True
LL1-B6__2021-06-15_SPD__AgedB6-2126,True
LL1-B6__2021-06-15_SPD__AgedB6-2128,True
LL1-B6__2021-06-16_SPD__AgedB6-0541,True
LL1-B6__2021-06-16_SPD__AgedB6-0542,True
LL1-B6__2021-06-16_SPD__AgedB6-0543,True
LL1-B6__2021-06-16_SPD__AgedB6-0546,True
LL2-B2B__2019-09-04_SPD__LL2-1_AgedB6-0403,True
LL2-B2B__2019-09-04_SPD__LL2-1_AgedB6-0689,True
LL2-B2B__2019-09-04_SPD__LL2-2_AgedB6-0386,True
LL2-B2B__2019-09-04_SPD__LL2-2_AgedB6-0690,True
LL2-B2B__2019-09-04_SPD__LL2-3_AgedB6-0373,True
LL2-B2B__2019-09-04_SPD__LL2-3_AgedB6-0691,True
LL2-B2B__2019-09-04_SPD__LL2-4_AgedB6-0374,True
LL2-B2B__2019-09-04_SPD__LL2-4_AgedB6-0692,True
LL2-B2B__2019-12-23_SPD__LL2-1_AgedB6-0324,True
LL2-B2B__2019-12-23_SPD__LL2-1_AgedB6-0542,True
LL2-B2B__2019-12-23_SPD__LL2-2_AgedB6-0325,True
LL2-B2B__2019-12-23_SPD__LL2-2_AgedB6-0543,True
LL2-B2B__2019-12-23_SPD__LL2-3_AgedB6-0546,True
LL2-B2B__2019-12-23_SPD__LL2-4_AgedB6-0547,True
LL2-B2B__2019-12-23_SPD__LL2-4_AgedB6-0666,True
LL2-B2B__2019-12-24_SPD__LL2-1_AgedB6-0532,True
LL2-B2B__2019-12-24_SPD__LL2-2_AgedB6-0534,True
LL2-B2B__2019-12-24_SPD__LL2-3_AgedB6-0533,True
LL2-B2B__2020-01-02_SPD__LL2-1_AgedB6-0750,True
LL2-B2B__2020-01-02_SPD__LL2-2_AgedB6-0675,True
LL2-B2B__2020-01-02_SPD__LL2-2_AgedB6-0751,True
LL2-B2B__2020-01-02_SPD__LL2-3_AgedB6-0676,True
LL2-B2B__2020-01-02_SPD__LL2-3_AgedB6-0752,True
LL2-B2B__2020-01-02_SPD__LL2-4_AgedB6-0677,True
LL2-B2B__2020-01-03_SPD__LL2-1_AgedB6-0856,True
LL2-B2B__2020-01-03_SPD__LL2-1_AgedB6-0878,True
LL2-B2B__2020-01-03_SPD__LL2-2_AgedB6-0857,True
LL2-B2B__2020-01-03_SPD__LL2-2_AgedB6-0879,True
LL2-B2B__2020-01-03_SPD__LL2-3_AgedB6-0858,True
LL2-B2B__2020-01-03_SPD__LL2-4_AgedB6-0867,True
LL2-B2B__2020-01-16_SPD__AgedB6-0896,True
LL2-B2B__2020-01-16_SPD__AgedB6-0897,True
LL2-B2B__2020-01-16_SPD__AgedB6-0898,True
LL2-B2B__2020-01-16_SPD__AgedB6-0899,True
LL2-B2B__2020-01-17_SPD__AgedB6-0886,True
LL2-B2B__2020-01-17_SPD__AgedB6-0887,True
LL2-B2B__2020-01-17_SPD__AgedB6-0888,True
LL2-B2B__2020-01-17_SPD__AgedB6-0889,True
LL2-B2B__2020-01-17_SPD__AgedB6-0940,True
LL2-B2B__2020-01-17_SPD__AgedB6-0941,True
LL2-B2B__2020-01-17_SPD__AgedB6-0942,True
LL2-B2B__2020-01-17_SPD__AgedB6-0943,True
LL2-B2B__2020-06-15_SPD__AgedB6-0743,True
LL2-B2B__2020-06-15_SPD__AgedB6-0747,True
LL2-B2B__2020-06-15_SPD__AgedB6-0748,True
LL2-B2B__2020-06-15_SPD__AgedB6-0754,True
LL2-B2B__2020-06-16_SPD__AgedB6-0413,True
LL2-B2B__2020-06-16_SPD__AgedB6-0414,True
LL2-B2B__2020-06-16_SPD__AgedB6-0737,True
LL2-B2B__2020-06-16_SPD__AgedB6-0738,True
LL2-B2B__2020-06-16_SPD__AgedB6-1123,True
LL2-B2B__2020-06-16_SPD__AgedB6-1125,True
LL2-B2B__2020-06-16_SPD__AgedB6-1126,True
LL2-B2B__2020-06-16_SPD__AgedB6-1127,True
LL2-B2B__2020-06-17_SPD__AgedB6-1056,True
LL2-B2B__2020-06-17_SPD__AgedB6-1168,True
LL2-B2B__2020-06-17_SPD__AgedB6-1169,True
LL2-B2B__2020-06-17_SPD__AgedB6-1170,True
LL2-B2B__2020-06-17_SPD__AgedB6-1171,True
LL2-B2B__2020-06-17_SPD__AgedB6-1189,True
LL2-B2B__2020-06-17_SPD__AgedB6-1190,True
LL2-B2B__2020-06-17_SPD__AgedB6-1191,True
LL2-B2B__2020-06-17_SPD__AgedB6-1192,True
LL2-B2B__2020-06-25_SPD__AgedB6-0437,True
LL2-B2B__2020-06-25_SPD__AgedB6-0438,True
LL2-B2B__2020-06-25_SPD__AgedB6-0439,True
LL2-B2B__2020-06-25_SPD__AgedB6-0669,True
LL2-B2B__2020-06-25_SPD__AgedB6-0670,True
LL2-B2B__2020-06-25_SPD__AgedB6-0671,True
LL2-B2B__2020-06-25_SPD__AgedB6-0672,True
LL2-B2B__2020-06-25_SPD__AgedB6-0924,True
LL2-B2B__2020-06-26_SPD__AgedB6-0896,True
LL2-B2B__2020-06-26_SPD__AgedB6-0898,True
LL2-B2B__2020-06-26_SPD__AgedB6-0899,True
